             24
        6.92820       6.92820       6.92820
     0.3382    1.4909    0.7120    0.3919    0.3614    1.2115
     0.3110   -0.5289    1.0108    0.2493   -0.0242    1.5196
    -0.4324    2.7143    3.2123   -0.5349    1.2659    0.2277
    -0.8075    2.0211    0.2002   -2.4876   -1.0258    0.0274
     0.4714    2.9486   -2.9720    1.0100   -0.3051    0.9594
    -2.8605   -3.3240    2.3045    0.6466    0.6086   -1.2170
     1.9271    2.5635    3.3160    0.1862   -0.2834   -1.4614
     2.0726   -0.2669    1.9436    1.5426    0.0321    0.1408
    -2.6447    0.9694   -2.4709    0.6173    1.1433    0.8662
     3.0808    0.1514   -0.5912   -0.7581    0.0228   -1.1836
    -1.6312    1.9000   -0.3038    0.0053   -1.3098   -0.3253
     0.4741   -3.3339    0.8150    0.3650   -0.0268   -0.2766
     0.7766    0.8101    3.0744    0.2762    0.6748   -1.4099
     1.2597   -0.9734   -0.4363   -1.2230   -0.7253   -0.7256
     1.3692   -3.0469    1.1554   -1.7504    0.9601    0.4223
     1.1822   -2.0065   -2.5709    0.2526    1.5677   -0.1698
    -1.2788   -0.9442    0.4863   -1.5203   -0.6370    0.2998
    -0.4254    3.3836   -2.7571    0.3402   -0.5771   -0.4873
    -2.0170   -2.3465    1.0608    1.1682    0.7811    0.1636
    -1.7092   -0.2334   -1.7707    1.4126    0.7443    1.5373
     3.3031    0.7264    1.6577   -1.1131   -0.8970    0.2508
    -2.5067   -2.1021   -0.9095   -0.1201   -0.1686   -0.2532
     2.2239   -2.7914    2.3413    0.3924   -1.6415   -0.0453
    -2.7983    3.3010   -0.2172    0.6512   -0.5404   -0.0716
